TransactionID,Supplier,Description,Amount,Category,Date
T001,Bright Office,Office Supplies expense from Bright Office,12985.54,Stationery,2024-01-01
T002,TechGear Inc.,Consultation expense from TechGear Inc.,35740.85,Consulting,2024-01-02
T003,Alpha Solutions,Office Supplies expense from Alpha Solutions,16465.03,Stationery,2024-01-02
T004,Delta Goods,Training expense from Unknown Supplier,66426.25,Training,2024-01-02
T005,MegaMart,Maintenance expense from MegaMart,78968.29,Maintenance,2024-01-03
T006,ABC Traders,Insurance expense from ABC Traders,53527.47,Insurance,2024-01-03
T007,Delta Goods,Miscellaneous expense from Unknown Supplier,5550.74,Miscellaneous,2024-01-03
T008,Delta Goods,Insurance expense from Delta Goods,41917.09,Insurance,2024-01-04
T009,Prime Supplies,Maintenance expense from Prime Supplies,21102.76,Maintenance,2024-01-05
T010,ABC Traders,Insurance expense from ABC Traders,77825.2,Insurance,2024-01-06
T011,XYZ Pvt Ltd,Miscellaneous expense from XYZ Pvt Ltd,10549.08,Miscellaneous,2024-01-06
T012,Global Services,Travel expense from Global Services,77586.56,Travel,2024-01-07
T013,Delta Goods,office_supplies expense from Unknown Supplier,52617.88,Office Supplies,2024-01-07
T014,Alpha Solutions,Office Supplies expense from Alpha Solutions,27998.07,Stationery,2024-01-08
T015,Delta Goods,Maintenance expense from Delta Goods,7463.67,Maintenance,2024-01-09
T016,ABC Traders,TRAVEL expense from ABC Traders,16993.83,Travel,2024-01-09
T017,ABC Traders,Consultation expense from ABC Traders,16639.49,Consulting,2024-01-10
T018,Bright Office,IT Services expense from Bright Office,31242.25,Stationery,2024-01-10
T019,MegaMart,IT Services expense from MegaMart,16132.71,Maintenance,2024-01-10
T020,ABC Traders,Maintenance expense from ABC Traders,47580.0,Maintenance,2024-01-11
T021,Alpha Solutions,Consulting expense from Alpha Solutions,41253.51,Stationery,2024-01-11
T022,Delta Goods,Travel expense from Unknown Supplier,58863.92,Travel,2024-01-11
T023,ABC Traders,Office Supplies expense from ABC Traders,71850.72,Miscellaneous,2024-01-11
T024,MegaMart,Miscellaneous expense from MegaMart,23295.36,Maintenance,2024-01-12
T025,Global Services,Insurance expense from Global Services,48233.59,Insurance,2024-01-13
T026,Alpha Solutions,Office Supplies expense from Alpha Solutions,21158.11,Stationery,2024-01-13
T027,UrbanStationers,Insurance expense from UrbanStationers,4003.56,Insurance,2024-01-14
T028,XYZ Pvt Ltd,TRAVEL expense from XYZ Pvt Ltd,29600.24,Travel,2024-01-14
T029,Alpha Solutions,Consulting expense from Alpha Solutions,5743.07,Stationery,2024-01-14
T030,Global Services,Utilities expense from Global Services,69659.39,Utilities,2024-01-14
T031,Prime Supplies,Consulting expense from Prime Supplies,37732.18,Maintenance,2024-01-15
T032,Bright Office,Consulting expense from Bright Office,20762.6,Stationery,2024-01-15
T033,Delta Goods,Maintenance expense from Unknown Supplier,37722.99,Maintenance,2024-01-15
T034,Delta Goods,Insurance expense from Unknown Supplier,31758.61,Insurance,2024-01-15
